Latitude , Longitude , Altitude , Temperature , Barometer , Sound , Transmit Time , DeviceId
42.334718 , -72.6812071667 , 89 , 30.30 , 1001.01 , 65535 , Wed Jul 19 2017 11:06:22 GMT-0400 (EDT) , 300234064222900
42.3348311667 , -72.6812323333 , 106 , 33.50 , 1005.53 , 65535 , Wed Jul 19 2017 11:07:50 GMT-0400 (EDT) , 300234064222900
42.334715 , -72.6811773333 , 75 , 29.10 , 1007.94 , 65535 , Wed Jul 19 2017 11:41:35 GMT-0400 (EDT) , 300234064222900
42.3347473333 , -72.6811866667 , 73 , 29.70 , 1007.75 , 65535 , Wed Jul 19 2017 11:43:59 GMT-0400 (EDT) , 300234064222900
42.3347188333 , -72.6811811667 , 78 , 30.60 , 1005.11 , 65535 , Wed Jul 19 2017 11:45:29 GMT-0400 (EDT) , 300234064222900
42.3347131667 , -72.6811578333 , 86 , 30.70 , 1008.00 , 65535 , Wed Jul 19 2017 11:50:27 GMT-0400 (EDT) , 300234064222900
42.3346645 , -72.6811161667 , 84 , 35.10 , 1006.70 , 65535 , Wed Jul 19 2017 12:14:46 GMT-0400 (EDT) , 300234064222900
42.3691631667 , -72.389488 , 16749 , -44.70 , 110.20 , 65535 , Wed Jul 19 2017 13:17:11 GMT-0400 (EDT) , 300234064222900
42.3760773333 , -72.3735141667 , 19427 , -41.70 , 65.38 , 65535 , Wed Jul 19 2017 13:24:45 GMT-0400 (EDT) , 300234064222900
42.3762348333 , -72.3769241667 , 21483 , -39.20 , 44.30 , 65535 , Wed Jul 19 2017 13:31:06 GMT-0400 (EDT) , 300234064222900
42.3760055 , -72.4338305 , 25174 , -23.10 , 23.77 , 65535 , Wed Jul 19 2017 13:40:40 GMT-0400 (EDT) , 300234064222900
42.3760055 , -72.4338305 , 25174 , -23.10 , 23.77 , 65535 , Wed Jul 19 2017 13:41:37 GMT-0400 (EDT) , 300234064222900
42.3843151667 , -72.492809 , 27683 , -12.80 , 15.57 , 65535 , Wed Jul 19 2017 13:48:54 GMT-0400 (EDT) , 300234064222900
42.3899516667 , -72.5151901667 , 28816 , -7.00 , 14.41 , 65535 , Wed Jul 19 2017 13:50:46 GMT-0400 (EDT) , 300234064222900
42.3978988333 , -72.615149 , 13765 , -35.80 , 164.08 , 65535 , Wed Jul 19 2017 14:16:03 GMT-0400 (EDT) , 300234064222900
42.397106 , -72.5910715 , 11584 , -32.90 , 228.06 , 65535 , Wed Jul 19 2017 14:19:00 GMT-0400 (EDT) , 300234064222900
42.3975221667 , -72.5749681667 , 9900 , -31.40 , 285.17 , 65535 , Wed Jul 19 2017 14:20:53 GMT-0400 (EDT) , 300234064222900
42.4025138333 , -72.5615863333 , 8972 , -22.10 , 326.83 , 65535 , Wed Jul 19 2017 14:23:05 GMT-0400 (EDT) , 300234064222900
42.4085805 , -72.5470225 , 8100 , -15.60 , 370.06 , 65535 , Wed Jul 19 2017 14:24:34 GMT-0400 (EDT) , 300234064222900
42.4119718333 , -72.5382486667 , 7482 , -8.70 , 404.56 , 65535 , Wed Jul 19 2017 14:27:31 GMT-0400 (EDT) , 300234064222900
42.4184315 , -72.5170395 , 6335 , -3.30 , 468.26 , 65535 , Wed Jul 19 2017 14:29:30 GMT-0400 (EDT) , 300234064222900
42.4218823333 , -72.504351 , 5617 , 0.90 , 513.04 , 65535 , Wed Jul 19 2017 14:31:43 GMT-0400 (EDT) , 300234064222900
42.4207701667 , -72.49132 , 4829 , 2.90 , 565.35 , 65535 , Wed Jul 19 2017 14:35:39 GMT-0400 (EDT) , 300234064222900
42.4098816667 , -72.425645 , 1532 , 15.50 , 850.22 , 65535 , Wed Jul 19 2017 14:46:16 GMT-0400 (EDT) , 300234064222900
42.4088861667 , -72.4165551667 , 1016 , 18.60 , 903.69 , 65535 , Wed Jul 19 2017 14:47:45 GMT-0400 (EDT) , 300234064222900
42.408788 , -72.4096326667 , 512 , 22.40 , 956.67 , 65535 , Wed Jul 19 2017 14:49:14 GMT-0400 (EDT) , 300234064222900
42.4090605 , -72.4080926667 , 396 , 24.40 , 969.63 , 65535 , Wed Jul 19 2017 14:50:59 GMT-0400 (EDT) , 300234064222900
42.4091948333 , -72.40809 , 414 , 24.70 , 969.55 , 65535 , Wed Jul 19 2017 14:52:54 GMT-0400 (EDT) , 300234064222900
42.409097 , -72.4080631667 , 402 , 23.80 , 964.30 , 65535 , Wed Jul 19 2017 14:54:36 GMT-0400 (EDT) , 300234064222900
42.4090371667 , -72.408044 , 395 , 33.00 , 968.51 , 65535 , Wed Jul 19 2017 14:55:58 GMT-0400 (EDT) , 300234064222900
42.4090858333 , -72.4080755 , 416 , 34.70 , 964.66 , 65535 , Wed Jul 19 2017 14:57:46 GMT-0400 (EDT) , 300234064222900
42.40909 , -72.4080573333 , 395 , 36.00 , 968.62 , 65535 , Wed Jul 19 2017 14:59:10 GMT-0400 (EDT) , 300234064222900
42.409055 , -72.4080621667 , 393 , 36.40 , 968.90 , 65535 , Wed Jul 19 2017 15:01:22 GMT-0400 (EDT) , 300234064222900
42.409099 , -72.4081066667 , 411 , 39.10 , 968.72 , 65535 , Wed Jul 19 2017 15:03:23 GMT-0400 (EDT) , 300234064222900
42.409104 , -72.4081428333 , 397 , 41.50 , 968.51 , 65535 , Wed Jul 19 2017 15:05:15 GMT-0400 (EDT) , 300234064222900
