Latitude , Longitude , Altitude , Temperature , Barometer , Sound , Transmit Time , DeviceId
42.7860363333 , -71.5740351667 , 14835 , -46.00 , 143.18 , 966 , Tue Jun 20 2017 17:05:26 GMT-0400 (EDT) , 300234064222900
42.7985161667 , -71.531372 , 15342 , -59.60 , 130.66 , 964 , Tue Jun 20 2017 17:06:53 GMT-0400 (EDT) , 300234064222900
42.8033498333 , -71.5035905 , 15742 , -39.10 , 122.53 , 962 , Tue Jun 20 2017 17:08:18 GMT-0400 (EDT) , 300234064222900
42.8085021667 , -71.4880423333 , 16165 , -40.70 , 114.76 , 961 , Tue Jun 20 2017 17:09:43 GMT-0400 (EDT) , 300234064222900
42.8173261667 , -71.4725448333 , 16525 , -42.00 , 106.82 , 959 , Tue Jun 20 2017 17:11:06 GMT-0400 (EDT) , 300234064222900
42.8228871667 , -71.4569951667 , 16876 , -38.40 , 101.69 , 957 , Tue Jun 20 2017 17:12:30 GMT-0400 (EDT) , 300234064222900
42.8289946667 , -71.4477468333 , 17235 , -56.80 , 95.19 , 956 , Tue Jun 20 2017 17:13:54 GMT-0400 (EDT) , 300234064222900
42.8365828333 , -71.4397945 , 17597 , -37.00 , 89.01 , 955 , Tue Jun 20 2017 17:15:21 GMT-0400 (EDT) , 300234064222900
42.8440551667 , -71.4321426667 , 17937 , -36.70 , 60.45 , 952 , Tue Jun 20 2017 17:16:42 GMT-0400 (EDT) , 300234064222900
42.8503098333 , -71.4239168333 , 18268 , -36.30 , 80.09 , 951 , Tue Jun 20 2017 17:18:04 GMT-0400 (EDT) , 300234064222900
42.8546253333 , -71.4155485 , 18619 , -36.40 , 74.93 , 949 , Tue Jun 20 2017 17:19:27 GMT-0400 (EDT) , 300234064222900
42.8578858333 , -71.4093108333 , 18985 , -36.50 , 69.04 , 947 , Tue Jun 20 2017 17:20:54 GMT-0400 (EDT) , 300234064222900
42.8625771667 , -71.4072408333 , 19378 , -54.90 , 65.84 , 945 , Tue Jun 20 2017 17:22:17 GMT-0400 (EDT) , 300234064222900
42.8691926667 , -71.4037295 , 19773 , -34.10 , 62.01 , 943 , Tue Jun 20 2017 17:23:46 GMT-0400 (EDT) , 300234064222900
42.8765371667 , -71.393963 , 20877 , -31.60 , 51.52 , 939 , Tue Jun 20 2017 17:30:02 GMT-0400 (EDT) , 300234064222900
42.8773275 , -71.3904238333 , 21955 , -29.50 , 43.36 , 935 , Tue Jun 20 2017 17:31:56 GMT-0400 (EDT) , 300234064222900
