Latitude , Longitude , Altitude , Temperature , Barometer , Sound , Transmit Time , DeviceId
42.369753 , -72.5020875 , 26623 , -14.90 , 19.28 , 139 , Wed Jul 19 2017 14:00:21 GMT-0400 (EDT) , 300234065639530
42.3722255 , -72.5132271667 , 27178 , -9.80 , 18.52 , 147 , Wed Jul 19 2017 14:01:52 GMT-0400 (EDT) , 300234065639530
42.3746856667 , -72.5264245 , 27761 , -12.80 , 15.34 , 65535 , Wed Jul 19 2017 14:03:37 GMT-0400 (EDT) , 300234065639530
42.3770056667 , -72.5365775 , 28515 , -11.30 , 14.24 , 65535 , Wed Jul 19 2017 14:05:09 GMT-0400 (EDT) , 300234065639530
42.376886 , -72.5472676667 , 29132 , -8.90 , 12.54 , 144 , Wed Jul 19 2017 14:06:43 GMT-0400 (EDT) , 300234065639530
42.3756585 , -72.5599308333 , 29740 , -2.70 , 12.02 , 188 , Wed Jul 19 2017 14:08:21 GMT-0400 (EDT) , 300234065639530
42.376687 , -72.5728348333 , 30400 , 0.30 , 10.32 , 147 , Wed Jul 19 2017 14:10:05 GMT-0400 (EDT) , 300234065639530
42.3766765 , -72.596849 , 31182 , 1.90 , 9.58 , 65535 , Wed Jul 19 2017 14:13:21 GMT-0400 (EDT) , 300234065639530
42.3780663333 , -72.6129785 , 26098 , -3.00 , 20.10 , 151 , Wed Jul 19 2017 14:15:31 GMT-0400 (EDT) , 300234065639530
42.3779618333 , -72.6279293333 , 21968 , -9.90 , 41.14 , 150 , Wed Jul 19 2017 14:17:25 GMT-0400 (EDT) , 300234065639530
42.3791138333 , -72.6275115 , 17624 , -29.30 , 85.63 , 65535 , Wed Jul 19 2017 14:18:52 GMT-0400 (EDT) , 300234065639530
42.3797481667 , -72.6214 , 15014 , -37.30 , 132.30 , 65535 , Wed Jul 19 2017 14:20:18 GMT-0400 (EDT) , 300234065639530
42.3802111667 , -72.60117 , 10527 , -35.20 , 266.33 , 65535 , Wed Jul 19 2017 14:22:59 GMT-0400 (EDT) , 300234065639530
